id,name,type,station,status,level_pct,lat,lon,mission_id
AST-SNOW-01,"Snowcat, tracked",Snowcat,Traverse,In use,64,-71.02,74.78,EXP-46-ISEA
AST-SNOW-02,"Snowcat, tracked",Snowcat,Traverse,Available,88,-70.9,74.9,
AST-SNOW-03,"Snowcat, tracked",Snowcat,Traverse,Available,76,-70.9876,74.8337,EXP-46-ISEA
AST-SNOW-04,"Snowcat, tracked",Snowcat,Traverse,In use,48,-70.9855,74.754,EXP-46-ISEA
AST-SNOW-05,"Snowcat, tracked",Snowcat,Maitri,Available,82,-70.7672,11.7454,
AST-SNOW-06,"Snowcat, tracked",Snowcat,Maitri,In use,53,-70.7779,11.7133,
AST-SNOW-07,"Snowcat, tracked",Snowcat,Traverse,Available,56,-70.9807,74.785,EXP-46-ISEA
AST-SNOW-08,"Snowcat, tracked",Snowcat,Traverse,Available,95,-70.9947,74.7654,EXP-46-ISEA
AST-SNOW-09,"Snowcat, tracked",Snowcat,Cape Town hub,Available,71,-33.9282,18.4152,
AST-SNOW-10,"Snowcat, tracked",Snowcat,Traverse,In use,63,-71.0137,74.8374,EXP-46-ISEA
AST-SNOW-11,"Snowcat, tracked",Snowcat,Cape Town hub,In use,81,-33.9276,18.3937,
AST-SNOW-12,"Snowcat, tracked",Snowcat,Bharati,Available,84,-69.4081,76.1655,EXP-46-ISEA
AST-SNOW-13,"Snowcat, tracked",Snowcat,Bharati,Available,48,-69.3934,76.2001,EXP-46-ISEA
AST-SNOW-14,"Snowcat, tracked",Snowcat,Traverse,Maintenance,56,-71.0157,74.8444,EXP-46-ISEA
AST-UAV-01,Fixed-wing survey UAV,UAV,Bharati,Available,72,-69.4144,76.1725,EXP-46-ISEA
AST-UAV-02,Fixed-wing survey UAV,UAV,Maitri,In use,71,-70.7842,11.7582,
AST-UAV-03,Fixed-wing survey UAV,UAV,Traverse,Available,39,-70.9909,74.7884,EXP-46-ISEA
AST-UAV-04,Fixed-wing survey UAV,UAV,Traverse,Available,71,-70.95,74.85,EXP-46-ISEA
AST-UAV-05,Fixed-wing survey UAV,UAV,Maitri,In use,100,-70.753,11.7131,
AST-UAV-06,Fixed-wing survey UAV,UAV,Bharati,Available,40,-69.4127,76.1404,EXP-46-ISEA
AST-UAV-07,Fixed-wing survey UAV,UAV,Maitri,Available,42,-70.7796,11.7135,
AST-UAV-08,Fixed-wing survey UAV,UAV,Bharati,Available,59,-69.4045,76.1404,EXP-46-ISEA
AST-UAV-09,Fixed-wing survey UAV,UAV,Bharati,Available,52,-69.3945,76.2034,EXP-46-ISEA
AST-UAV-10,Fixed-wing survey UAV,UAV,Bharati,Available,57,-69.4053,76.1738,EXP-46-ISEA
AST-UAV-11,Fixed-wing survey UAV,UAV,Bharati,Maintenance,56,-69.3956,76.1606,EXP-46-ISEA
AST-UAV-12,Fixed-wing survey UAV,UAV,Maitri,In use,77,-70.7549,11.7355,
AST-SLED-01,Traverse sledge,Sledge,Traverse,In use,0,-70.9849,74.8231,EXP-46-ISEA
AST-SLED-02,Traverse sledge,Sledge,Cape Town hub,Available,0,-33.91,18.4562,
AST-SLED-03,Traverse sledge,Sledge,Bharati,In use,0,-69.3949,76.2118,EXP-46-ISEA
AST-SLED-04,Traverse sledge,Sledge,Bharati,Available,0,-69.4083,76.2294,EXP-46-ISEA
AST-SLED-05,Traverse sledge,Sledge,Maitri,Available,0,-70.7846,11.726,
AST-SLED-06,Traverse sledge,Sledge,Bharati,Maintenance,0,-69.3919,76.1926,EXP-46-ISEA
AST-SLED-07,Traverse sledge,Sledge,Traverse,In use,0,-70.9974,74.7591,EXP-46-ISEA
AST-SLED-08,Traverse sledge,Sledge,Bharati,In use,0,-69.4114,76.1937,EXP-46-ISEA
AST-SLED-09,Traverse sledge,Sledge,Maitri,In use,0,-70.764,11.6973,
AST-SLED-10,Traverse sledge,Sledge,Cape Town hub,In use,0,-33.9205,18.4207,
AST-SLED-11,Traverse sledge,Sledge,Cape Town hub,Available,0,-33.9171,18.4197,
AST-SLED-12,Traverse sledge,Sledge,Cape Town hub,Available,0,-33.9115,18.3883,
AST-SLED-13,Traverse sledge,Sledge,Bharati,In use,0,-69.4124,76.1567,EXP-46-ISEA
AST-SLED-14,Traverse sledge,Sledge,Traverse,Available,0,-71.0156,74.8463,EXP-46-ISEA
AST-SLED-15,Traverse sledge,Sledge,Bharati,Available,0,-69.3994,76.194,EXP-46-ISEA
AST-SLED-16,Traverse sledge,Sledge,Traverse,Maintenance,0,-70.9933,74.7834,EXP-46-ISEA
AST-SLED-17,Traverse sledge,Sledge,Cape Town hub,In use,0,-33.9255,18.4552,
AST-SLED-18,Traverse sledge,Sledge,Bharati,Available,0,-69.4229,76.2217,EXP-46-ISEA
AST-SLED-19,Traverse sledge,Sledge,Traverse,In use,0,-71.0005,74.7702,EXP-46-ISEA
AST-SLED-20,Traverse sledge,Sledge,Bharati,Available,0,-69.4096,76.1398,EXP-46-ISEA
AST-SLED-21,Traverse sledge,Sledge,Bharati,Available,0,-69.3952,76.2131,EXP-46-ISEA
AST-SLED-22,Traverse sledge,Sledge,Traverse,Maintenance,0,-70.9874,74.7677,EXP-46-ISEA
AST-SLED-23,Traverse sledge,Sledge,Bharati,In use,0,-69.3927,76.1528,EXP-46-ISEA
AST-SLED-24,Traverse sledge,Sledge,Maitri,Available,0,-70.7836,11.7134,
AST-SLED-25,Traverse sledge,Sledge,Traverse,In use,0,-70.9853,74.7608,EXP-46-ISEA
AST-SLED-26,Traverse sledge,Sledge,Cape Town hub,In use,0,-33.9144,18.4504,
AST-SLED-27,Traverse sledge,Sledge,Maitri,In use,0,-70.7659,11.7783,
AST-SLED-28,Traverse sledge,Sledge,Cape Town hub,In use,0,-33.9241,18.4578,
