hours_ago,station,temp_c,wind_kt,gust_kt,wind_dir,vis_km,pressure_hpa
167,Bharati,-23.8,24.2,30.3,100,3.5,984.1
166,Bharati,-24.8,23.7,27.7,108,4.3,984.3
165,Bharati,-25.3,27.2,34.9,96,2.9,984.3
164,Bharati,-26.8,23.7,27.4,96,3.3,984.4
163,Bharati,-27.2,25.7,32.1,85,3.4,985.0
162,Bharati,-27.6,25.9,31.5,97,2.0,984.6
161,Bharati,-28.5,24.2,32.0,117,2.9,984.5
160,Bharati,-29.1,24.3,32.7,88,2.9,984.7
159,Bharati,-29.5,22.9,26.8,114,3.0,984.9
158,Bharati,-30.2,21.4,28.1,90,2.9,985.4
157,Bharati,-30.1,24.3,28.6,104,3.6,985.2
156,Bharati,-29.4,24.1,29.1,103,4.4,985.4
155,Bharati,-29.1,22.6,26.4,97,5.1,986.0
154,Bharati,-28.9,19.0,22.2,104,4.7,985.7
153,Bharati,-28.0,20.2,27.1,73,4.1,985.8
152,Bharati,-27.0,21.2,25.4,84,3.0,986.4
151,Bharati,-26.4,21.0,27.9,90,4.3,985.9
150,Bharati,-25.3,18.9,22.7,97,5.5,986.5
149,Bharati,-24.8,18.1,21.1,73,3.9,986.6
148,Bharati,-23.9,14.7,17.0,86,4.8,986.6
147,Bharati,-24.2,14.7,18.6,78,4.4,987.1
146,Bharati,-23.6,14.9,17.6,114,4.1,986.5
145,Bharati,-23.5,16.0,18.5,75,5.6,986.8
144,Bharati,-23.9,13.1,17.1,97,7.1,987.2
143,Bharati,-23.8,14.3,17.4,114,6.2,987.1
142,Bharati,-24.3,11.9,15.2,80,5.8,987.3
141,Bharati,-25.4,11.6,15.7,93,7.4,987.4
140,Bharati,-26.0,12.1,14.1,83,6.9,986.9
139,Bharati,-26.8,8.6,11.1,74,6.9,987.2
138,Bharati,-27.9,10.5,12.5,77,5.5,987.7
137,Bharati,-28.5,11.3,13.7,99,6.8,987.7
136,Bharati,-28.5,8.5,10.8,107,6.4,987.2
135,Bharati,-28.9,10.8,13.9,93,7.8,987.5
134,Bharati,-29.6,8.6,10.9,102,6.9,987.4
133,Bharati,-28.9,8.9,10.3,97,5.5,987.7
132,Bharati,-29.0,10.7,12.4,92,5.4,987.5
131,Bharati,-28.5,8.2,9.7,86,5.7,987.6
130,Bharati,-27.8,12.2,15.7,85,5.2,987.4
129,Bharati,-27.7,10.2,13.2,93,5.6,987.6
128,Bharati,-26.5,12.2,14.9,105,7.0,987.7
127,Bharati,-25.7,12.6,14.8,76,5.9,987.2
126,Bharati,-24.9,13.6,18.2,76,5.7,987.4
125,Bharati,-24.4,14.4,18.4,100,6.2,987.6
124,Bharati,-23.8,15.1,18.3,120,6.6,987.4
123,Bharati,-23.7,14.1,17.8,92,6.4,987.3
122,Bharati,-23.4,13.6,16.5,95,6.6,986.7
121,Bharati,-23.8,17.2,22.7,108,5.5,987.2
120,Bharati,-24.4,17.1,20.6,90,5.6,986.9
119,Bharati,-24.5,18.1,22.0,109,4.3,986.4
118,Bharati,-24.9,18.8,23.8,73,3.6,986.6
117,Bharati,-25.8,17.1,23.0,77,5.0,986.5
116,Bharati,-26.6,18.1,22.8,107,4.4,986.7
115,Bharati,-27.4,20.9,24.6,105,3.8,986.1
114,Bharati,-28.4,22.4,29.9,71,2.6,986.2
113,Bharati,-29.3,21.1,27.2,84,3.4,985.6
112,Bharati,-29.7,23.1,27.7,108,2.6,985.8
111,Bharati,-30.0,23.2,29.1,99,2.5,985.7
110,Bharati,-29.8,24.6,32.5,111,2.3,985.7
